gamma,nu,miss
0.5,0.25,0.2736441508824691
0.5,0.5,0.3985091333394285
0.5,0.75,0.6484660457383477
0.5,0.95,0.8482041483406574
0.1,0.25,0.14798266380583153
0.1,0.5,0.3983380473568075
0.1,0.75,0.6485801030600951
0.1,0.95,0.8479763254867863
0.01,0.25,0.1476976826068096
0.01,0.5,0.39754087810520894
0.01,0.75,0.6485230095570828
0.01,0.95,0.8479191509311008
0.001,0.25,0.14781151298107192
0.001,0.5,0.39776853885373364
0.001,0.75,0.6480675259546869
0.001,0.95,0.8477482918959647
0.0001,0.25,0.14769763397520566
0.0001,0.5,0.3978824827017385
0.0001,0.75,0.6482953001769541
0.0001,0.95,0.8479760336971625
